id,x,y
Compound_I-N-1,6.375396251678467,2.300335645675659
Compound_I-N-2,8.221573829650879,2.696701765060425
Compound_I-N-3,7.52890682220459,3.2756760120391846
Compound_I-N-4,6.882052898406982,3.7508187294006348
Compound_I-N-5,7.361327648162842,3.0748353004455566
Compound_I-N-7,2.596585273742676,8.216144561767578
Compound_I-N-8,10.684917449951172,3.123589038848877
Compound_I-N-9,9.221253395080566,5.075588703155518
Compound_I-N-10,6.08231782913208,2.1020750999450684
Compound_I-N-11,6.113624572753906,1.9960147142410278
Compound_I-N-12,6.033559799194336,1.9948887825012207
Compound_I-N-13,6.420182228088379,2.346487522125244
Compound_I-N-14,7.59082555770874,4.135224342346191
Compound_I-N-15,7.595159530639648,3.4139721393585205
Compound_I-N-16,6.565876007080078,2.355367422103882
Compound_I-N-17,7.029123306274414,3.60886549949646
Compound_I-N-18,7.951744556427002,3.2201592922210693
Compound_I-N-19,6.092911243438721,2.043875217437744
Compound_I-N-20,3.2858850955963135,5.674386024475098
Compound_I-N-21,6.122547149658203,2.57722806930542
Compound_I-N-22,6.702049732208252,2.925644874572754
Compound_I-N-23,6.824196815490723,3.303771495819092
Compound_I-N-24,6.728920936584473,3.3058383464813232
Compound_I-N-25,7.614590167999268,5.187331199645996
Compound_I-N-26,2.36409592628479,7.297738075256348
Compound_I-N-27,1.853454351425171,8.081685066223145
Compound_I-N-28,2.6422410011291504,8.043353080749512
Compound_I-N-29,2.045206308364868,8.097376823425293
Compound_I-N-30,1.8247336149215698,8.041952133178711
Compound_I-N-31;Compound_I-N-112,7.186838626861572,3.289199113845825
Compound_I-N-32,6.583423614501953,2.4871816635131836
Compound_I-N-33,6.007805347442627,2.282240390777588
Compound_I-N-34,7.435619831085205,5.172309398651123
Compound_I-N-35,8.406451225280762,4.849374771118164
Compound_I-N-36,8.88348388671875,4.706197738647461
Compound_I-N-37,8.744389533996582,4.836410045623779
Compound_I-N-38,10.65996265411377,2.4143781661987305
Compound_I-N-39,7.415777683258057,5.0402092933654785
Compound_I-N-40,7.487924575805664,5.291117191314697
Compound_I-N-41,7.641180992126465,4.34378719329834
Compound_I-N-42,4.115317344665527,4.1043477058410645
Compound_I-N-43,7.515524387359619,5.010024070739746
Compound_I-N-44,8.017223358154297,5.165167331695557
Compound_I-N-45,10.5060453414917,3.8989036083221436
Compound_I-N-46,8.752364158630371,4.792269706726074
Compound_I-N-47,7.030848026275635,3.900813102722168
Compound_I-N-48,7.008401870727539,4.005216121673584
Compound_I-N-49,10.496817588806152,3.92175030708313
Compound_I-N-50,10.610007286071777,3.8097915649414062
Compound_I-N-51,7.371577739715576,5.020780563354492
Compound_I-N-52,7.608144283294678,4.497855186462402
Compound_I-N-53,7.522299766540527,5.126364231109619
Compound_I-N-54,7.5146074295043945,5.14137077331543
Compound_I-N-55,8.210975646972656,5.079049110412598
Compound_I-N-56,9.777591705322266,4.275173664093018
Compound_I-N-57,7.604231834411621,4.1258320808410645
Compound_I-N-58,6.6534810066223145,3.560316801071167
Compound_I-N-59,7.356703758239746,4.050565719604492
Compound_I-N-60,6.875977993011475,3.906360149383545
Compound_I-N-61,10.482516288757324,3.7173898220062256
Compound_I-N-62,6.71042013168335,3.618717908859253
Compound_I-N-63,7.141664028167725,3.6863460540771484
Compound_I-N-64,6.818655490875244,3.7600576877593994
Compound_I-N-65,6.798791885375977,3.7133069038391113
Compound_I-N-66,1.426630973815918,6.452841758728027
Compound_I-N-67,7.22468900680542,5.363260269165039
Compound_I-N-68,1.5191996097564697,6.478551864624023
Compound_I-N-69,7.206236839294434,5.368001461029053
Compound_I-N-70,7.367834091186523,5.274135589599609
Compound_I-N-71,6.8089752197265625,3.7649381160736084
Compound_I-N-72,7.6541523933410645,4.833675861358643
Compound_I-N-73,1.6459624767303467,6.31193733215332
Compound_I-N-74,1.684251308441162,6.2577080726623535
Compound_I-N-75,8.402085304260254,4.922292232513428
Compound_I-N-76,7.390132427215576,3.828749656677246
Compound_I-N-77,-0.07490044087171555,7.526400089263916
Compound_I-N-78,7.7089667320251465,3.1866438388824463
Compound_I-N-79,0.425199031829834,7.568893909454346
Compound_I-N-80,8.002338409423828,2.6234028339385986
